,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
spectral PC1 sign,871.0,0.08309366413269602,1.123943131794151,-10.31604850795286,-0.48947415884913725,0.26884641515385954,0.9325585400320928,6.83603367783646,-1.3247197101268586,11.237965229970637,2.181888985708079,1.1736101121200089,514.0,59.01262916188289
spectral PC1 unit-median,871.0,0.033988147470406016,0.8992380283168827,-6.124124411198602,-0.14328339299239606,0.044021381789481985,0.3754299471834962,6.83603367783646,-0.7773014674612407,11.853710754285377,1.1154803049517077,0.6000025548216359,514.0,59.01262916188289
PCR k=1 sign,871.0,-0.02889777620781885,1.1266430736773567,-10.31604850795286,-0.7540702300412716,0.056846193435222014,0.8190011586043452,6.83603367783646,-1.138688649164136,10.623474021495522,-0.756984783874361,-0.40717241018915507,447.0,51.3203214695752
PCR k=2 sign,871.0,-0.0062856545127562245,1.126996495971864,-10.31604850795286,-0.7294373298468062,0.11007379339633883,0.8371956318303151,6.83603367783646,-1.1406202142997355,10.701816508476725,-0.16460272411604107,-0.08853769498377763,464.0,53.272101033295066
PCR k=3 sign,871.0,-0.006712377470733484,1.1269940323705574,-10.31604850795286,-0.7373862143784142,0.11007379339633883,0.8299741778029592,6.83603367783646,-1.1404598653704248,10.700178540289208,-0.1757777221109136,-0.09454858313418783,465.0,53.38691159586682
PCR k=4 sign,871.0,-0.020723365287046956,1.1268232804216118,-10.31604850795286,-0.7652947462221136,0.07261541807610405,0.8117335285925262,6.83603367783646,-1.1090786472770102,10.652009804852277,-0.5427671423465037,-0.29194748722635633,457.0,52.46842709529277
PCR k=5 sign,871.0,-0.028094377815104606,1.1266634171301124,-10.31604850795286,-0.7407476479243835,0.028109163851351315,0.8255893251990591,6.83603367783646,-1.100134375878699,10.62982693162644,-0.7359262650651721,-0.395845302906145,444.0,50.975889781859934
PCR k=6 sign,871.0,-0.03087154332158978,1.1265906573149524,-10.31604850795286,-0.7407476479243835,0.028109163851351315,0.8275856423751,6.83603367783646,-1.1129169011377746,10.620287860953646,-0.8087257536071957,-0.43500321445422346,444.0,50.975889781859934
PCR k=7 sign,871.0,-0.0393700960968763,1.1263253840332599,-10.31604850795286,-0.7540702300412716,0.050825399741753596,0.82155565883556,6.83603367783646,-1.2441585676303026,10.578199777629155,-1.0316008241228567,-0.5548848574754672,445.0,51.09070034443169
PCR k=1 unit-median,871.0,-0.04314325415499399,1.5821540665753453,-9.056625758200084,-0.7715949136177399,0.026446096266829276,0.9005240231780023,6.971206703799664,-0.5274730594914171,4.68980536435422,-0.8047726435477569,-0.43287688723479567,447.0,51.3203214695752
PC2 sign (beta-aligned),871.0,0.004351032732090587,1.1270056359896843,-10.31604850795286,-0.6063565071108017,0.24258852735607506,0.9142385074558811,6.83603367783646,-1.6006373097975048,10.751864802693866,0.11393977041683755,0.06128674172230487,501.0,57.52009184845006
PC3 sign (beta-aligned),871.0,-0.006889579368847571,1.1269929617951602,-4.2548636396498605,-0.8569178204743952,-0.11007379339633883,0.6926062852812902,10.31604850795286,1.5331439425569302,10.765177481984797,-0.18041829790539124,-0.09704468935871732,405.0,46.498277841561425
PC1-of-q sign,871.0,0.07013872393045455,1.1248269029831504,-3.5509046737099705,-0.8161121073928981,-0.03430417843507749,0.7494505550986842,10.31604850795286,1.7447046353336915,10.373191452015966,1.840268713693587,0.9898569476063321,426.0,48.90929965556831
EW unit-median q,871.0,0.11097646664520673,1.1025295388645846,-5.506694397938613,-0.24715557539791985,0.040310943342907836,0.493161456629736,6.4409868363201355,-0.1063935008389738,5.2453203189933335,2.9706380324168737,1.5978681120484748,477.0,54.7646383467279
blk2 unit-median (bench),871.0,0.1033518696488813,1.2581828902309526,-10.652714021129912,-0.33605256479906975,0.03671824518942605,0.5353245865195807,9.173978296686329,-0.21991853050762497,12.021212496357112,2.4242848081434754,1.3039917173296371,481.0,55.223880597014926
always short,871.0,0.020132472943937295,1.1268340048342713,-10.31604850795286,-0.4435358568488702,0.32893453154561647,0.931262653135382,1.0,-2.3143220828599675,10.899722145931872,0.5272860203432714,0.2836203901792714,540.0,61.99770378874857
