w,frame,year,days,wing_premium_paid,wing_settlement_received,net_cost,days_beyond_wing,pts_returned_on_those_days
25,all days (always short),all,866,0.6687355685643593,0.6756932917147807,-0.006957723150421235,35,397.9753900244832
25,all days (always short),2020,158,1.4575949400262553,2.4184199465981013,-0.9608250065718459,12,248.5603513121605
25,all days (always short),2021,158,0.30743671148496715,0.15031645569620253,0.15712025578876462,5,17.40000001527369
25,all days (always short),2022,219,1.04805936296917,0.587077937714041,0.4609814252551288,14,84.29506806097925
25,all days (always short),2023,248,0.20221774465584708,0.19725873393397178,0.004959010721875295,3,46.170165956020355
25,all days (always short),2024,83,0.24789156955498529,0.021684393825301206,0.22620717572968407,1,1.5498046800494194
25,sell days (sign(s)),all,520,0.7912980801604975,0.8781733586237981,-0.0868752784633006,24,314.32514606416225
25,sell days (sign(s)),2020,83,1.7331325325396765,3.4240987387048194,-1.6909662061651427,8,192.2001951932907
25,sell days (sign(s)),2021,119,0.3378151289868255,0.0752937893907563,0.26252133959606916,3,3.434960948303342
25,sell days (sign(s)),2022,165,1.0915151551252964,0.7506658380681818,0.34084931705711463,11,81.40986301936209
25,sell days (sign(s)),2023,121,0.2861570283031661,0.327521710356405,-0.04136468205323889,2,37.28012690320611
25,sell days (sign(s)),2024,32,0.39687500352738425,0.0,0.39687500352738425,0,0.0
50,all days (always short),all,866,0.18374711449750578,0.21197467477987875,-0.02822756028237299,9,134.32006834447384
50,all days (always short),2020,158,0.5196202547419109,1.0152541534810127,-0.49563389873910174,7,114.11015625670552
50,all days (always short),2021,158,0.09177215346665699,0.0,0.09177215346665699,0,0.0
50,all days (always short),2022,219,0.18299086909894258,0.04625517265981735,0.13673569643912523,1,7.579882800579071
50,all days (always short),2023,248,0.06471774289985338,0.05254044071320565,0.012177302186647731,1,12.630029287189245
50,all days (always short),2024,83,0.07710843477173741,0.0,0.07710843477173741,0,0.0
50,sell days (sign(s)),all,520,0.20355769424126124,0.2889230581430288,-0.08536536390176759,7,116.7399900816381
50,sell days (sign(s)),2020,83,0.6129518114254776,1.5310852786144578,-0.9181334671889803,5,96.53007799386978
50,sell days (sign(s)),2021,119,0.09579832102132946,0.0,0.09579832102132946,0,0.0
50,sell days (sign(s)),2022,165,0.18863636534096617,0.06139322916666667,0.1272431361742995,1,7.579882800579071
50,sell days (sign(s)),2023,121,0.07561983582217338,0.10768619253615702,-0.03206635671398364,1,12.630029287189245
50,sell days (sign(s)),2024,32,0.10312500124564394,0.0,0.10312500124564394,0,0.0
