model,b_sell,t_sell,n_sell,b_buy,t_buy,n_buy
baseline (HAR + calendar OLS),-3768.011939039437,-2.216908227365273,580,-6476.279790493238,-0.7420542694951556,286
block-diagonal ridge,-8112.74774766313,-5.382157782390868,520,-6235.227139041346,-2.1800455147039455,346
"block-diagonal ridge, without the FOMC columns",-7913.1047249117255,-5.43610116328247,511,-6405.301289840472,-2.380791371858399,355
LightGBM,-8297.00370739905,-4.733737997390562,576,-150.61294314937132,-0.06189875743077628,290
XGBoost,-8318.53521143755,-3.5168259990643524,587,-311.7214874409455,-0.11800385772903753,279
lasso (causally tuned),-8275.446530169273,-5.686844162303766,545,-4028.284641519174,-0.8707896131763241,321
lasso (fixed 1e-4),-7781.554967414839,-5.059422179480372,508,-6218.871242436126,-1.705842077914105,358
elastic net (causally tuned),-7032.382896980959,-5.494205636710379,559,-1492.2802447088654,-0.4266462265164109,307
per-bar ridge (HAR + calendar),-3700.236874142714,-2.0781261139695753,539,-10055.729477749299,-1.2160217538876616,327
per-bar ridge (all features),-8581.868859792712,-8.255122993522182,550,453.33521952613035,1.2516263319340535,316
per-bar lasso (all features),-8709.764429486555,-5.335846142541654,536,370.2442793170218,0.5161383178708651,330
per-bar elastic net (all features),-8037.668685936522,-5.660172602809898,530,263.24085589752,0.3424636693663661,336
per-bar ridge (live-feasible set),-8429.30082050181,-7.02898701204861,518,506.78486164573553,0.5148531307926286,348
per-bar lasso (live-feasible set),-8651.981270389946,-5.399107099515545,534,-1082.020671167199,-1.1327913839619104,332
per-bar elastic net (live-feasible set),-8648.572133551284,-5.500257760632068,533,-844.8176590437356,-0.9668368897349164,333
