rule,forecast,n,p_buy,E_R_given_buy,m_long_bar,contrib_buy,p_sell,E_negR_given_sell,m_short_bar,contrib_short,mean,identity_gap
always short,baseline (HAR + calendar OLS),866.0,0.0,,,0.0,1.0,0.014475039184953114,1.0,0.014475039184953114,0.014475039184953114,0.0
always short,block-diagonal ridge,866.0,0.0,,,0.0,1.0,0.014475039184953114,1.0,0.014475039184953114,0.014475039184953114,0.0
always short,LightGBM,866.0,0.0,,,0.0,1.0,0.014475039184953114,1.0,0.014475039184953114,0.014475039184953114,0.0
always short,XGBoost,866.0,0.0,,,0.0,1.0,0.014475039184953114,1.0,0.014475039184953114,0.014475039184953114,0.0
always short,lasso (causally tuned),866.0,0.0,,,0.0,1.0,0.014475039184953114,1.0,0.014475039184953114,0.014475039184953114,0.0
always short,lasso (fixed 1e-4),866.0,0.0,,,0.0,1.0,0.014475039184953114,1.0,0.014475039184953114,0.014475039184953114,0.0
always short,elastic net (causally tuned),866.0,0.0,,,0.0,1.0,0.014475039184953114,1.0,0.014475039184953114,0.014475039184953114,0.0
sign(s),baseline (HAR + calendar OLS),866.0,0.3302540415704388,0.0819280568423989,1.0,0.02705707189021488,0.6697459584295612,0.06201173826050942,1.0,0.04153211107516799,0.06858918296538287,0.0
sign(s),block-diagonal ridge,866.0,0.3995381062355658,0.10044262563358049,1.0,0.04013065643096866,0.6004618937644342,0.09093948539113125,1.0,0.054605695615921754,0.0947363520468904,0.0
sign(s),LightGBM,866.0,0.3348729792147806,0.1325323209944572,1.0,0.04438149317366349,0.6651270207852193,0.08848916149750344,1.0,0.058856532358616605,0.10323802553228009,0.0
sign(s),XGBoost,866.0,0.32217090069284066,0.1419622475913469,1.0,0.045736105170884285,0.6778290993071594,0.08882938843638022,1.0,0.06021114435583739,0.10594724952672167,0.0
sign(s),lasso (causally tuned),866.0,0.37066974595842955,0.11535117527955098,1.0,0.042757190836877436,0.6293302540415704,0.09094148843835828,1.0,0.05723223002183055,0.09998942085870799,0.0
sign(s),lasso (fixed 1e-4),866.0,0.4133949191685912,0.11163552409944431,1.0,0.0461495584614331,0.5866050808314087,0.10334823142080801,1.0,0.060624597646386204,0.1067741561078193,0.0
sign(s),elastic net (causally tuned),866.0,0.35450346420323325,0.08181871609716135,1.0,0.029005018293104538,0.6454965357967667,0.06735908725581025,1.0,0.04348005747805766,0.07248507577116219,-1.3877787807814457e-17
"sign(s), threshold c = 0.5 x past sd(s)",baseline (HAR + calendar OLS),866.0,0.04387990762124711,0.0007597227378425713,1.0,3.333656355429502e-05,0.9561200923787528,0.015174219079960641,1.0,0.014508375748507402,0.014541712312061692,-5.204170427930421e-18
"sign(s), threshold c = 0.5 x past sd(s)",block-diagonal ridge,866.0,0.04849884526558892,-0.08510216404255033,1.0,-0.004127356685666415,0.9515011547344111,0.010875112917939644,1.0,0.0103476824992867,0.0062203258136202845,0.0
"sign(s), threshold c = 0.5 x past sd(s)",LightGBM,866.0,0.04734411085450346,0.016874677589871746,1.0,0.0007989166064488938,0.9526558891454965,0.01603302510952016,1.0,0.015273955791402002,0.016072872397850893,-3.469446951953614e-18
"sign(s), threshold c = 0.5 x past sd(s)",XGBoost,866.0,0.04849884526558892,0.08508148463108169,1.0,0.004126353758089407,0.9515011547344111,0.019549522194993715,1.0,0.018601392943042517,0.022727746701131923,0.0
"sign(s), threshold c = 0.5 x past sd(s)",lasso (causally tuned),866.0,0.04041570438799076,-0.1799726495223438,1.0,-0.007273721401018513,0.9595842956120092,0.0075046223837393145,1.0,0.007201317783934598,-7.24036170839097e-05,5.041540102057596e-18
"sign(s), threshold c = 0.5 x past sd(s)",lasso (fixed 1e-4),866.0,0.049653579676674366,-0.10637885790202588,1.0,-0.005282091096751864,0.9503464203233256,0.009673260078228775,1.0,0.009192948088201248,0.003910856991449383,0.0
"sign(s), threshold c = 0.5 x past sd(s)",elastic net (causally tuned),866.0,0.04157043879907621,-0.18696309915056628,1.0,-0.007772138070924233,0.9584295612009238,0.006993629355119287,1.0,0.006702901114028882,-0.001069236956895353,-1.5178830414797062e-18
heaviside(s): long only [diagnostic],baseline (HAR + calendar OLS),866.0,0.3302540415704388,0.0819280568423989,1.0,0.02705707189021488,0.0,,,0.0,0.02705707189021488,0.0
heaviside(s): long only [diagnostic],block-diagonal ridge,866.0,0.3995381062355658,0.10044262563358049,1.0,0.04013065643096866,0.0,,,0.0,0.04013065643096866,0.0
heaviside(s): long only [diagnostic],LightGBM,866.0,0.3348729792147806,0.1325323209944572,1.0,0.04438149317366349,0.0,,,0.0,0.04438149317366349,0.0
heaviside(s): long only [diagnostic],XGBoost,866.0,0.32217090069284066,0.1419622475913469,1.0,0.045736105170884285,0.0,,,0.0,0.045736105170884285,0.0
heaviside(s): long only [diagnostic],lasso (causally tuned),866.0,0.37066974595842955,0.11535117527955098,1.0,0.042757190836877436,0.0,,,0.0,0.042757190836877436,0.0
heaviside(s): long only [diagnostic],lasso (fixed 1e-4),866.0,0.4133949191685912,0.11163552409944431,1.0,0.0461495584614331,0.0,,,0.0,0.0461495584614331,0.0
heaviside(s): long only [diagnostic],elastic net (causally tuned),866.0,0.35450346420323325,0.08181871609716135,1.0,0.029005018293104538,0.0,,,0.0,0.029005018293104538,0.0
"sign(s), long side doubled",baseline (HAR + calendar OLS),866.0,0.3302540415704388,0.0819280568423989,2.0,0.05411414378042976,0.6697459584295612,0.06201173826050942,1.0,0.04153211107516799,0.09564625485559773,-1.3877787807814457e-17
"sign(s), long side doubled",block-diagonal ridge,866.0,0.3995381062355658,0.10044262563358049,2.0,0.08026131286193731,0.6004618937644342,0.09093948539113125,1.0,0.054605695615921754,0.13486700847785907,0.0
"sign(s), long side doubled",LightGBM,866.0,0.3348729792147806,0.1325323209944572,2.0,0.08876298634732697,0.6651270207852193,0.08848916149750344,1.0,0.058856532358616605,0.1476195187059436,0.0
"sign(s), long side doubled",XGBoost,866.0,0.32217090069284066,0.1419622475913469,2.0,0.09147221034176857,0.6778290993071594,0.08882938843638022,1.0,0.06021114435583739,0.151683354697606,2.7755575615628914e-17
"sign(s), long side doubled",lasso (causally tuned),866.0,0.37066974595842955,0.11535117527955098,2.0,0.08551438167375487,0.6293302540415704,0.09094148843835828,1.0,0.05723223002183055,0.14274661169558542,0.0
"sign(s), long side doubled",lasso (fixed 1e-4),866.0,0.4133949191685912,0.11163552409944431,2.0,0.0922991169228662,0.5866050808314087,0.10334823142080801,1.0,0.060624597646386204,0.15292371456925244,2.7755575615628914e-17
"sign(s), long side doubled",elastic net (causally tuned),866.0,0.35450346420323325,0.08181871609716135,2.0,0.058010036586209075,0.6454965357967667,0.06735908725581025,1.0,0.04348005747805766,0.10149009406426673,0.0
"sign(s), long side doubled, short side halved",baseline (HAR + calendar OLS),866.0,0.3302540415704388,0.0819280568423989,2.0,0.05411414378042976,0.6697459584295612,0.06201173826050942,0.5,0.020766055537583997,0.07488019931801375,-1.3877787807814457e-17
"sign(s), long side doubled, short side halved",block-diagonal ridge,866.0,0.3995381062355658,0.10044262563358049,2.0,0.08026131286193731,0.6004618937644342,0.09093948539113125,0.5,0.027302847807960877,0.10756416066989818,0.0
"sign(s), long side doubled, short side halved",LightGBM,866.0,0.3348729792147806,0.1325323209944572,2.0,0.08876298634732697,0.6651270207852193,0.08848916149750344,0.5,0.029428266179308302,0.11819125252663529,1.3877787807814457e-17
"sign(s), long side doubled, short side halved",XGBoost,866.0,0.32217090069284066,0.1419622475913469,2.0,0.09147221034176857,0.6778290993071594,0.08882938843638022,0.5,0.030105572177918694,0.12157778251968726,0.0
"sign(s), long side doubled, short side halved",lasso (causally tuned),866.0,0.37066974595842955,0.11535117527955098,2.0,0.08551438167375487,0.6293302540415704,0.09094148843835828,0.5,0.028616115010915277,0.11413049668467014,-1.3877787807814457e-17
"sign(s), long side doubled, short side halved",lasso (fixed 1e-4),866.0,0.4133949191685912,0.11163552409944431,2.0,0.0922991169228662,0.5866050808314087,0.10334823142080801,0.5,0.030312298823193102,0.12261141574605931,1.3877787807814457e-17
"sign(s), long side doubled, short side halved",elastic net (causally tuned),866.0,0.35450346420323325,0.08181871609716135,2.0,0.058010036586209075,0.6454965357967667,0.06735908725581025,0.5,0.02174002873902883,0.0797500653252379,0.0
"sign(s), long side doubled, implied-variance tilt",baseline (HAR + calendar OLS),866.0,0.3302540415704388,0.0819280568423989,2.9892750867579103,0.09102222298500898,0.6697459584295612,0.06201173826050942,1.0,0.04153211107516799,0.13255433406017697,0.0
"sign(s), long side doubled, implied-variance tilt",block-diagonal ridge,866.0,0.3995381062355658,0.10044262563358049,3.0921486838974657,0.15582749727580109,0.6004618937644342,0.09093948539113125,1.0,0.054605695615921754,0.21043319289172285,0.0
"sign(s), long side doubled, implied-variance tilt",LightGBM,866.0,0.3348729792147806,0.1325323209944572,2.9417357432276194,0.14545331086033786,0.6651270207852193,0.08848916149750344,1.0,0.058856532358616605,0.20430984321895448,2.7755575615628914e-17
"sign(s), long side doubled, implied-variance tilt",XGBoost,866.0,0.32217090069284066,0.1419622475913469,2.9221218578274186,0.1562818423926804,0.6778290993071594,0.08882938843638022,1.0,0.06021114435583739,0.21649298674851777,0.0
"sign(s), long side doubled, implied-variance tilt",lasso (causally tuned),866.0,0.37066974595842955,0.11535117527955098,3.0742763014924215,0.16766405418538213,0.6293302540415704,0.09094148843835828,1.0,0.05723223002183055,0.2248962842072127,0.0
"sign(s), long side doubled, implied-variance tilt",lasso (fixed 1e-4),866.0,0.4133949191685912,0.11163552409944431,3.082251844997378,0.1743413211589507,0.5866050808314087,0.10334823142080801,1.0,0.060624597646386204,0.23496591880533696,5.551115123125783e-17
"sign(s), long side doubled, implied-variance tilt",elastic net (causally tuned),866.0,0.35450346420323325,0.08181871609716135,3.0848635997030938,0.12935162022961363,0.6454965357967667,0.06735908725581025,1.0,0.04348005747805766,0.1728316777076713,0.0
"sign(s), threshold c, long side doubled",baseline (HAR + calendar OLS),866.0,0.04387990762124711,0.0007597227378425713,2.0,6.667312710859004e-05,0.9561200923787528,0.015174219079960641,1.0,0.014508375748507402,0.01457504887561599,-3.469446951953614e-18
"sign(s), threshold c, long side doubled",block-diagonal ridge,866.0,0.04849884526558892,-0.08510216404255033,2.0,-0.00825471337133283,0.9515011547344111,0.010875112917939644,1.0,0.0103476824992867,0.0020929691279538702,4.336808689942018e-19
"sign(s), threshold c, long side doubled",LightGBM,866.0,0.04734411085450346,0.016874677589871746,2.0,0.0015978332128977876,0.9526558891454965,0.01603302510952016,1.0,0.015273955791402002,0.016871789004299788,0.0
"sign(s), threshold c, long side doubled",XGBoost,866.0,0.04849884526558892,0.08508148463108169,2.0,0.008252707516178815,0.9515011547344111,0.019549522194993715,1.0,0.018601392943042517,0.02685410045922134,6.938893903907228e-18
"sign(s), threshold c, long side doubled",lasso (causally tuned),866.0,0.04041570438799076,-0.1799726495223438,2.0,-0.014547442802037026,0.9595842956120092,0.0075046223837393145,1.0,0.007201317783934598,-0.007346125018102427,8.673617379884035e-19
"sign(s), threshold c, long side doubled",lasso (fixed 1e-4),866.0,0.049653579676674366,-0.10637885790202588,2.0,-0.010564182193503729,0.9503464203233256,0.009673260078228775,1.0,0.009192948088201248,-0.0013712341053024849,-3.903127820947816e-18
"sign(s), threshold c, long side doubled",elastic net (causally tuned),866.0,0.04157043879907621,-0.18696309915056628,2.0,-0.015544276141848466,0.9584295612009238,0.006993629355119287,1.0,0.006702901114028882,-0.008841375027819592,-6.938893903907228e-18
"sign(s), wings on selling days (25 points)",baseline (HAR + calendar OLS),866.0,0.3302540415704388,0.0819280568423989,1.0,0.02705707189021488,0.6697459584295612,0.06201173826050942,1.0,0.023253179787012686,0.05031025167722757,6.938893903907228e-18
"sign(s), wings on selling days (25 points)",block-diagonal ridge,866.0,0.3995381062355658,0.10044262563358049,1.0,0.04013065643096866,0.6004618937644342,0.09093948539113125,1.0,0.04006369407973918,0.08019435051070783,0.0
"sign(s), wings on selling days (25 points)",LightGBM,866.0,0.3348729792147806,0.1325323209944572,1.0,0.04438149317366349,0.6651270207852193,0.08848916149750344,1.0,0.036254206152328744,0.08063569932599225,1.3877787807814457e-17
"sign(s), wings on selling days (25 points)",XGBoost,866.0,0.32217090069284066,0.1419622475913469,1.0,0.045736105170884285,0.6778290993071594,0.08882938843638022,1.0,0.0364745411463719,0.08221064631725619,0.0
"sign(s), wings on selling days (25 points)",lasso (causally tuned),866.0,0.37066974595842955,0.11535117527955098,1.0,0.042757190836877436,0.6293302540415704,0.09094148843835828,1.0,0.03961465690735259,0.08237184774423004,1.3877787807814457e-17
"sign(s), wings on selling days (25 points)",lasso (fixed 1e-4),866.0,0.4133949191685912,0.11163552409944431,1.0,0.0461495584614331,0.5866050808314087,0.10334823142080801,1.0,0.0458340163946202,0.09198357485605331,1.3877787807814457e-17
"sign(s), wings on selling days (25 points)",elastic net (causally tuned),866.0,0.35450346420323325,0.08181871609716135,1.0,0.029005018293104538,0.6454965357967667,0.06735908725581025,1.0,0.024703251161271457,0.05370826945437599,-6.938893903907228e-18
"sign(s), wings on selling days (50 points)",baseline (HAR + calendar OLS),866.0,0.3302540415704388,0.0819280568423989,1.0,0.02705707189021488,0.6697459584295612,0.06201173826050942,1.0,0.035219788166914144,0.062276860057129034,6.938893903907228e-18
"sign(s), wings on selling days (50 points)",block-diagonal ridge,866.0,0.3995381062355658,0.10044262563358049,1.0,0.04013065643096866,0.6004618937644342,0.09093948539113125,1.0,0.04997258406503604,0.09010324049600468,-1.3877787807814457e-17
"sign(s), wings on selling days (50 points)",LightGBM,866.0,0.3348729792147806,0.1325323209944572,1.0,0.04438149317366349,0.6651270207852193,0.08848916149750344,1.0,0.05113557889284912,0.09551707206651261,0.0
"sign(s), wings on selling days (50 points)",XGBoost,866.0,0.32217090069284066,0.1419622475913469,1.0,0.045736105170884285,0.6778290993071594,0.08882938843638022,1.0,0.05258622804533756,0.09832233321622182,-2.7755575615628914e-17
"sign(s), wings on selling days (50 points)",lasso (causally tuned),866.0,0.37066974595842955,0.11535117527955098,1.0,0.042757190836877436,0.6293302540415704,0.09094148843835828,1.0,0.05132797168677011,0.09408516252364756,1.3877787807814457e-17
"sign(s), wings on selling days (50 points)",lasso (fixed 1e-4),866.0,0.4133949191685912,0.11163552409944431,1.0,0.0461495584614331,0.5866050808314087,0.10334823142080801,1.0,0.056170458543817775,0.10232001700525088,1.3877787807814457e-17
"sign(s), wings on selling days (50 points)",elastic net (causally tuned),866.0,0.35450346420323325,0.08181871609716135,1.0,0.029005018293104538,0.6454965357967667,0.06735908725581025,1.0,0.03737741699609415,0.06638243528919868,0.0
