rule,forecast,fill,n,untradeable,mean,std,t_mean,Sharpe_ann
sign(s),baseline (HAR + calendar OLS),midpoint,866,0,0.06858918296538287,1.1256164375007374,1.7931810846074554,0.9673095454705917
sign(s),baseline (HAR + calendar OLS),crossed spread,866,0,0.03497528849154893,1.130941200342605,0.910081373198857,0.49093223601728486
sign(s),baseline (HAR + calendar OLS),half-spread cost,866,0,0.0354863497990644,1.1266125460885212,0.9269273398539656,0.5000195861393909
sign(s),block-diagonal ridge,midpoint,866,0,0.0947363520468904,1.1237156788965348,2.480956577175688,1.3383216004229939
sign(s),block-diagonal ridge,crossed spread,866,0,0.06136656537073233,1.1202596887192053,1.6120260449056047,0.8695876808926679
sign(s),block-diagonal ridge,half-spread cost,866,0,0.061633518880571926,1.1245628556285527,1.6128433030650189,0.8700285407843437
sign(s),LightGBM,midpoint,866,0,0.10323802553228009,1.1229656573935265,2.705404207188048,1.4593971219265764
sign(s),LightGBM,crossed spread,866,0,0.06950797305523362,1.1238538663868685,1.820051706047374,0.9818045726793189
sign(s),LightGBM,half-spread cost,866,0,0.07013519236596162,1.1236635144471858,1.8367864166150523,0.9908319070694462
sign(s),XGBoost,midpoint,866,0,0.10594724952672167,1.1227130010558712,2.7770255836764437,1.4980323951467007
sign(s),XGBoost,crossed spread,866,0,0.072342282025223,1.1241913647560127,1.8936988061085207,1.0215325976383653
sign(s),XGBoost,half-spread cost,866,0,0.07284441636040319,1.123115696942189,1.9086694265221706,1.0296083152287672
sign(s),lasso (causally tuned),midpoint,866,0,0.09998942085870799,1.123259914962216,2.6195864670669464,1.4131037944414562
sign(s),lasso (causally tuned),crossed spread,866,0,0.06633936292460364,1.1267723761481383,1.7325830096919626,0.9346206571000508
sign(s),lasso (causally tuned),half-spread cost,866,0,0.0668865876923895,1.1241468446614071,1.7509548220713411,0.9445311059859525
sign(s),lasso (fixed 1e-4),midpoint,866,0,0.1067741561078193,1.122634570399547,2.7988954873139367,1.509829846463058
sign(s),lasso (fixed 1e-4),crossed spread,866,0,0.07343068019142705,1.1160854778630822,1.9361501753410348,1.0444324681697883
sign(s),lasso (fixed 1e-4),half-spread cost,866,0,0.07367132294150085,1.123689534941689,1.929350262435966,1.0407643385436711
sign(s),elastic net (causally tuned),midpoint,866,0,0.07248507577116219,1.125371991296503,1.8954461091078754,1.0224751588133707
sign(s),elastic net (causally tuned),crossed spread,866,0,0.03879606708136028,1.1302314790104562,1.0101346032123633,0.5449047239483719
sign(s),elastic net (causally tuned),half-spread cost,866,0,0.039382242604843715,1.1263647188875163,1.0289170185381655,0.5550366675583052
"sign(s), long side doubled",baseline (HAR + calendar OLS),midpoint,866,0,0.09564625485559773,1.718788206653127,1.637587634316915,0.8833765668268362
"sign(s), long side doubled",baseline (HAR + calendar OLS),crossed spread,866,0,0.04995744346755404,1.6862370359983616,0.871847502533038,0.47030744336650204
"sign(s), long side doubled",baseline (HAR + calendar OLS),half-spread cost,866,0,0.05064220751208965,1.7196192904278813,0.8666410696420831,0.4674988969924055
"sign(s), long side doubled",block-diagonal ridge,midpoint,866,0,0.13486700847785907,1.8275605355295077,2.17166533548032,1.1714782330740265
"sign(s), long side doubled",block-diagonal ridge,crossed spread,866,0,0.08660491828801284,1.7837625604815661,1.428777024908196,0.7707362443237681
"sign(s), long side doubled",block-diagonal ridge,half-spread cost,866,0,0.0874466863741785,1.8280931298912186,1.4076801508210584,0.7593557943183261
"sign(s), long side doubled",LightGBM,midpoint,866,0,0.1476195187059436,1.7900761261881475,2.4267846011450542,1.309099192289625
"sign(s), long side doubled",LightGBM,crossed spread,866,0,0.10156156618126365,1.7516582547496762,1.706235428505793,0.9204077775419207
"sign(s), long side doubled",LightGBM,half-spread cost,866,0,0.10314509884178438,1.7899973508494302,1.6957239502586667,0.9147374895086975
"sign(s), long side doubled",XGBoost,midpoint,866,0,0.151683354697606,1.7702076789539978,2.5215794172103165,1.360235093302729
"sign(s), long side doubled",XGBoost,crossed spread,866,0,0.10585258475705296,1.7323254192621833,1.7981707761917427,0.9700011734048066
"sign(s), long side doubled",XGBoost,half-spread cost,866,0,0.10747709843392929,1.7696558231736481,1.7872531441129655,0.9641117906679545
"sign(s), long side doubled",lasso (causally tuned),midpoint,866,0,0.14274661169558542,1.775801749808372,2.3655398839732915,1.2760614806840167
"sign(s), long side doubled",lasso (causally tuned),crossed spread,866,0,0.09563011019391145,1.741182296002939,1.6162530577939465,0.8718678911574418
"sign(s), long side doubled",lasso (causally tuned),half-spread cost,866,0,0.09693494508467072,1.7761710911327535,1.6060331947910318,0.8663549113914941
"sign(s), long side doubled",lasso (fixed 1e-4),midpoint,866,0,0.15292371456925244,1.879677702257078,2.3941446988160133,1.291491997256659
"sign(s), long side doubled",lasso (fixed 1e-4),crossed spread,866,0,0.10426654415630976,1.8325589184395958,1.6743489683697925,0.9032070176601751
"sign(s), long side doubled",lasso (fixed 1e-4),half-spread cost,866,0,0.10515244426094097,1.8804603606416208,1.6455615653901463,0.8876780061562333
"sign(s), long side doubled",elastic net (causally tuned),midpoint,866,0,0.10149009406426673,1.7482039306658257,1.7084037209640572,0.9215774363177436
"sign(s), long side doubled",elastic net (causally tuned),crossed spread,866,0,0.055149442868566156,1.715366806481775,0.9461131386094116,0.5103691299935653
"sign(s), long side doubled",elastic net (causally tuned),half-spread cost,866,0,0.05599691492343267,1.7489647510007036,0.9421975922564737,0.5082569365316548
"sign(s), threshold c = 0.05 x implied variance",baseline (HAR + calendar OLS),midpoint,866,0,0.04891559302113584,1.126644033261524,1.2776725019158959,0.689224762461227
